	description	link	title	link_class	type
112	Income & Employment: % of household with income below poverty threshold is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The...	http://geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1465799.3471801%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Income%20%26%20Employment%3A%20%25%20of%20household%20with%20income%20below%20poverty%20threshold%22%2C%22geoportal%3Acbms_income%22%2C1%2C%22Householdwithincomebelowpovertythreshold%22%2C0%2Cnull%5D%5D%7D	Income & Employment: % of household with income below poverty threshold	<type 'unicode'>	3471801%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Income%20%26%20Employment%3A%20%25%20of%20household%20with%20income%20below%20poverty%20threshold%22%2C%22geoportal%3Acbms_income%22%2C1%2C%22Householdwithincomebelowpovertythreshold%22%2C0%2Cnull%5D%5D%7D
113	Income & Employment: % of household with income below food threshold is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Income%20%26%20Employment%3A%20%25%20of%20household%20with%20income%20below%20food%20threshold%22%2C%22geoportal%3Acbms_income%22%2C1%2C%22Householdwithincomebelowfoodthreshold%22%2C0%2Cnull%5D%5D%7D	Income & Employment: % of household with income below food threshold	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Income%20%26%20Employment%3A%20%25%20of%20household%20with%20income%20below%20food%20threshold%22%2C%22geoportal%3Acbms_income%22%2C1%2C%22Householdwithincomebelowfoodthreshold%22%2C0%2Cnull%5D%5D%7D
114	Income & Employment: % of household who experienced food shortage is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset...	http://geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1465799.3471801%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Income%20%26%20Employment%3A%20%25%20of%20household%20who%20experienced%20food%20shortage%22%2C%22geoportal%3Acbms_income%22%2C1%2C%22Householdwhoexperiencedfoodshortage%22%2C0%2Cnull%5D%5D%7D	Income & Employment: % of household who experienced food shortage	<type 'unicode'>	3471801%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Income%20%26%20Employment%3A%20%25%20of%20household%20who%20experienced%20food%20shortage%22%2C%22geoportal%3Acbms_income%22%2C1%2C%22Householdwhoexperiencedfoodshortage%22%2C0%2Cnull%5D%5D%7D
115	Housing: % of household who are informal settlers is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Housing%3A%20%25%20of%20household%20who%20are%20informal%20settlers%22%2C%22geoportal%3Acbms_housing%22%2C1%2C%22HouseholdwhoareInfromalSettlers%22%2C0%2Cnull%5D%5D%7D	Housing: % of household who are informal settlers	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Housing%3A%20%25%20of%20household%20who%20are%20informal%20settlers%22%2C%22geoportal%3Acbms_housing%22%2C1%2C%22HouseholdwhoareInfromalSettlers%22%2C0%2Cnull%5D%5D%7D
116	Housing: % of household living in makeshift housing  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Housing%3A%20%25%20of%20household%20living%20in%20makeshift%20housing%22%2C%22geoportal%3Acbms_housing%22%2C1%2C%22Householdlivinginmakeshifthousing%22%2C0%2Cnull%5D%5D%7D	Housing: % of household living in makeshift housing	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Housing%3A%20%25%20of%20household%20living%20in%20makeshift%20housing%22%2C%22geoportal%3Acbms_housing%22%2C1%2C%22Householdlivinginmakeshifthousing%22%2C0%2Cnull%5D%5D%7D
117	Health & Nutrition: % of women who died due to pregnancy-related causes  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Health%20%26%20Nutrition%3A%20%25%20of%20women%20who%20died%20due%20to%20pregnancy-related%20causes%22%2C%22geoportal%3Acbms_health%22%2C1%2C%22womenwhodiedduetopregnancyrelatedcauses%22%2C0%2Cnull%5D%5D%7D	Health & Nutrition: % of women who died due to pregnancy-related causes	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Health%20%26%20Nutrition%3A%20%25%20of%20women%20who%20died%20due%20to%20pregnancy-related%20causes%22%2C%22geoportal%3Acbms_health%22%2C1%2C%22womenwhodiedduetopregnancyrelatedcauses%22%2C0%2Cnull%5D%5D%7D
118	Health & Nutrition: % of children 0-5 who died  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Health%20%26%20Nutrition%3A%20%25%20of%20children%200-5%20who%20died%22%2C%22geoportal%3Acbms_health%22%2C1%2C%22children05whodied%22%2C0%2Cnull%5D%5D%7D	Health & Nutrition: % of children 0-5 who died	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Health%20%26%20Nutrition%3A%20%25%20of%20children%200-5%20who%20died%22%2C%22geoportal%3Acbms_health%22%2C1%2C%22children05whodied%22%2C0%2Cnull%5D%5D%7D
119	Health & Nutrition: % of children 0-5 who are malnourished  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Health%20%26%20Nutrition%3A%20%25%20of%20children%200-5%20who%20are%20malnourished%22%2C%22geoportal%3Acbms_health%22%2C1%2C%22children05whoaremalnourished%22%2C0%2Cnull%5D%5D%7D	Health & Nutrition: % of children 0-5 who are malnourished	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Health%20%26%20Nutrition%3A%20%25%20of%20children%200-5%20who%20are%20malnourished%22%2C%22geoportal%3Acbms_health%22%2C1%2C%22children05whoaremalnourished%22%2C0%2Cnull%5D%5D%7D
120	Ground shaking risk M7.2 - Estimated Number of Fatalities M7.2 (absolute)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M7.2%20-%20Estimated%20Number%20of%20Fatalities%20M7.2%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22AbsoluteEstimatedNumberofFatalitiesM72%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M7.2 - Estimated Number of Fatalities M7.2 (absolute)	<type 'unicode'>	2%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22AbsoluteEstimatedNumberofFatalitiesM72%22%2C0%2Cnull%5D%5D%7D
121	This dataset contains NEDA Updates for January 9, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T05%3A51%3A12.838Z/09-january-2013-neda-update.csv	09 January 2013 NEDA Update	<type 'unicode'>	csv
122	This dataset contains NEDA Updates for October 29, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T05%3A41%3A27.762Z/09-october-2013-neda-updates.csv	09 October 2013 NEDA Updates	<type 'unicode'>	csv
123	This dataset contains NEDA Updates for April 10, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T05%3A37%3A33.087Z/10-april-2013-neda-updates.csv	10 April 2013 NEDA Updates	<type 'unicode'>	csv
124	Ground shaking risk M7.2 - Economic Loss M7.2 per Barangay (normalized)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M7.2%20-%20Economic%20Loss%20M7.2%20per%20Barangay%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22NormalizedEconomicLossM72perBarangay%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M7.2 - Economic Loss M7.2 per Barangay (normalized)	<type 'unicode'>	2%20per%20Barangay%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22NormalizedEconomicLossM72perBarangay%22%2C0%2Cnull%5D%5D%7D
125	This dataset contains NEDA Updates for November 11, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T05%3A30%3A50.040Z/11-november-2013-neda-updates.csv	11 November 2013 NEDA Updates	<type 'unicode'>	csv
126	Ground shaking risk M7.2 - Economic Loss M7.2 (absolute)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M7.2%20-%20Economic%20Loss%20M7.2%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22AbsoluteEconomicLossM72%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M7.2 - Economic Loss M7.2 (absolute)	<type 'unicode'>	2%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22AbsoluteEconomicLossM72%22%2C0%2Cnull%5D%5D%7D
127	This dataset contains NEDA Updates for February 12, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T05%3A27%3A29.324Z/13-february-2013-neda-updates.csv	13 February 2013 NEDA Updates	<type 'unicode'>	csv
128	This dataset contains NEDA Updates for June 13, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T05%3A23%3A21.657Z/13-june-2013-neda-updates.csv	13 June 2013 NEDA Updates	<type 'unicode'>	csv
129	Ground shaking risk M7.2 - Complete Damage State M7.2 per Barangay (normalized)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph)....	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M7.2%20-%20Complete%20Damage%20State%20M7.2%20per%20Barangay%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22NormalizedCompleteDamageStateM72perBarangay%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M7.2 - Complete Damage State M7.2 per Barangay (normalized)	<type 'unicode'>	2%20per%20Barangay%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22NormalizedCompleteDamageStateM72perBarangay%22%2C0%2Cnull%5D%5D%7D
130	This dataset contains NEDA Updates for March 13, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T05%3A17%3A10.735Z/13-march-2013-neda-updates.csv	NEDA Updates 13 March 2013	<type 'unicode'>	csv
131	This dataset contains NEDA Updates for August 14, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T05%3A09%3A18.361Z/14-august-2013-neda-updates.csv	14 August 2013 NEDA Updates	<type 'unicode'>	csv
132	Ground shaking risk M7.2 - Complete Damage State M7.2 (absolute)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M7.2%20-%20Complete%20Damage%20State%20M7.2%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22AbsoluteCompleteDamageStateM72%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M7.2 - Complete Damage State M7.2 (absolute)	<type 'unicode'>	2%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22AbsoluteCompleteDamageStateM72%22%2C0%2Cnull%5D%5D%7D
133	This dataset contains NEDA Updates for May 15, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T03%3A58%3A29.217Z/15-may-2013-neda-updates.csv	15 May 2013 NEDA Updates	<type 'unicode'>	csv
134	Ground shaking risk M7.2 - Collapsed Damage State M7.2 per Barangay (normalized)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph)....	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M7.2%20-%20Collapsed%20Damage%20State%20M7.2%20per%20Barangay%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22NormalizedCollapsedDamageStateM72perBarangay%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M7.2 - Collapsed Damage State M7.2 per Barangay (normalized)	<type 'unicode'>	2%20per%20Barangay%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22NormalizedCollapsedDamageStateM72perBarangay%22%2C0%2Cnull%5D%5D%7D
135	This dataset contains NEDA Updates for January 16, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T03%3A52%3A51.997Z/16-january-2013-neda-updates.csv	16 January 2013 NEDA Updates	<type 'unicode'>	csv
136	This dataset contains NEDA Updates for July 17, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T03%3A46%3A45.246Z/17-july-2013-neda-updates.csv	17 July 2013 NEDA Updates	<type 'unicode'>	csv
137	This dataset contains NEDA Updates for September 18, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T03%3A40%3A01.736Z/18-september-2013-neda-updates.csv	18 September 2013 NEDA Updates	<type 'unicode'>	csv
138	Ground shaking risk M7.2 - Collapsed Damage State M7.2 (absolute)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M7.2%20-%20Collapsed%20Damage%20State%20M7.2%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22AbsoluteCollapsedDamageStateM72%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M7.2 - Collapsed Damage State M7.2 (absolute)	<type 'unicode'>	2%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m7p2_webmercator%22%2C1%2C%22AbsoluteCollapsedDamageStateM72%22%2C0%2Cnull%5D%5D%7D
139	This dataset contains NEDA Updates for June 19, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T03%3A33%3A28.135Z/19-june-2013-neda-updates.csv	19 June 2013 NEDA Updates	<type 'unicode'>	csv
140	This dataset contains the NEDA Updates for February 20, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T03%3A27%3A01.002Z/20-february-2013-neda-updates.csv	20 February 2013 NEDA Updates	<type 'unicode'>	csv
141	This dataset contains NEDA Updates for March 20, 2013	http://data.insomnation.com/catalogue/storage/f/2014-01-03T03%3A18%3A53.241Z/20-march-2013-neda-updates.csv	20 March 2013 NEDA Updates	<type 'unicode'>	csv
142	Ground shaking risk M6.5 - Slight Injuries M6.5  (absolute)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M6.5%20-%20Slight%20Injuries%20M6.5%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22AbsoluteSlightInjuriesM65%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M6.5 - Slight Injuries M6.5  (absolute)	<type 'unicode'>	5%20%28absolute%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22AbsoluteSlightInjuriesM65%22%2C0%2Cnull%5D%5D%7D
143	Ground shaking risk M6.5 - Slight Damage State M6.5  (normalized)  is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13478029.682%2C1641148.4546%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Ground%20Shaking%20Risk%20M6.5%20-%20Slight%20Damage%20State%20M6.5%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22NormalizeSlightDamageStateM65%22%2C0%2Cnull%5D%5D%7D	Ground shaking risk M6.5 - Slight Damage State M6.5  (normalized)	<type 'unicode'>	5%20%28normalized%29%22%2C%22geoportal%3Arap_gsrisk_brgy_m6p5_webmercator%22%2C1%2C%22NormalizeSlightDamageStateM65%22%2C0%2Cnull%5D%5D%7D
144	Topographic map (as background/basemap) 1:50,000 for Regions 1, 2, 3 & 6  is a fundamental dataset of the National Mapping and Resource Information Authority (NAMRIA)...	http://geoportal.gov.ph/?p=%7B%22g%22%3A%5B13617603.403841%2C1289784.932651%2C6%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5D%7D	 Topographic map (as background/basemap) 1:50,000 for Regions 1, 2, 3 & 6	<type 'unicode'>	932651%2C6%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5D%7D
145	Regional boundary is a fundamental dataset of the National Mapping and Resource Information Authority (NAMRIA) uploaded in the Philippine Geoportal System (www.geoportal.gov.ph)	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13717197.179416%2C1549143.2638679%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Regional%20boundary%201%3A250%2C000%22%2C%22geoportal%3Aadminbnd_regn%22%2C1%2C%22polygon%22%2C0%2Cnull%5D%5D%7D	Regional boundary 1:250,000	<type 'unicode'>	2638679%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Regional%20boundary%201%3A250%2C000%22%2C%22geoportal%3Aadminbnd_regn%22%2C1%2C%22polygon%22%2C0%2Cnull%5D%5D%7D
146	Provincial boundary is a fundamental dataset of the National Mapping and Resource Information Authority (NAMRIA) uploaded in the Philippine Geoportal System...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13717197.179416%2C1549143.2638679%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Provincial%20boundary%201%3A250%2C000%22%2C%22geoportal%3Aadminbnd_prov%22%2C1%2C%22polygon%22%2C0%2Cnull%5D%5D%7D	Provincial boundary 1:250,000	<type 'unicode'>	2638679%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Provincial%20boundary%201%3A250%2C000%22%2C%22geoportal%3Aadminbnd_prov%22%2C1%2C%22polygon%22%2C0%2Cnull%5D%5D%7D
147	Municipal boundary 1:250,000 is a fundamental dataset of the National Mapping and Resource Information Authority (NAMRIA) uploaded in the Philippine Geoportal System...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13610082.099764%2C1403622.1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Municipal%20boundary%201%3A250%2C000%22%2C%22geoportal%3Aadminbnd_munic%22%2C1%2C%22polygon%22%2C0%2Cnull%5D%5D%7D	Municipal boundary 1:250,000	<type 'unicode'>	1394924%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Municipal%20boundary%201%3A250%2C000%22%2C%22geoportal%3Aadminbnd_munic%22%2C1%2C%22polygon%22%2C0%2Cnull%5D%5D%7D
148	Spot elevation 1:250,000 is a fundamental dataset of the National Mapping and Resource Information Authority (NAMRIA) uploaded in the Philippine Geoportal System...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13717197.179416%2C1549143.2638679%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Spot%20elevation%201%3A250%2C000%22%2C%22geoportal%3Aspotelevation250k%22%2C1%2C%22point%22%2C0%2Cnull%5D%5D%7D	Spot elevation 1:250,000	<type 'unicode'>	2638679%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Spot%20elevation%201%3A250%2C000%22%2C%22geoportal%3Aspotelevation250k%22%2C1%2C%22point%22%2C0%2Cnull%5D%5D%7D
149	Spot elevation 1:50,000 is a fundamental dataset of the National Mapping and Resource Information Authority (NAMRIA) uploaded in the Philippine Geoportal System...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13485024.840072%2C1667213.812509%2C3%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Spot%20elevation%201%3A50%2C000%22%2C%22geoportal%3Aspotelevation50k%22%2C1%2C%22point%22%2C0%2Cnull%5D%5D%7D	Spot elevation 1:50,000	<type 'unicode'>	812509%2C3%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Spot%20elevation%201%3A50%2C000%22%2C%22geoportal%3Aspotelevation50k%22%2C1%2C%22point%22%2C0%2Cnull%5D%5D%7D
150	Contour 1:250,000 is a fundamental dataset of the National Mapping and Resource Information Authority (NAMRIA) uploaded in the Philippine Geoportal System (www.geoportal.gov.ph)	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13492300.896291%2C1475721.2420237%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Contour%201%3A250%2C000%22%2C%22geoportal%3Acontour250k%22%2C1%2C%22Contour_250K%22%2C0%2Cnull%5D%5D%7D	Contour 1:250,000	<type 'unicode'>	2420237%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Contour%201%3A250%2C000%22%2C%22geoportal%3Acontour250k%22%2C1%2C%22Contour_250K%22%2C0%2Cnull%5D%5D%7D
151	Topographic map (as background/basemap) 1:250,000 for the whole Philippines is a fundamental dataset of the National Mapping and Resource Information Authority (NAMRIA) uploaded...	http://202.90.149.231/?p=%7B%22g%22%3A%5B13525373.879104%2C1464476.4278675%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5D%7D	Topographic map (as background/basemap) 1:250,000 for the whole Philippines	<type 'unicode'>	4278675%2C1%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5D%7D
152	The MMDA - Metro Manila Land Use 2003 is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the portal by the...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13474854.655218%2C1636072.6207277%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Metro%20manila%20land%20use%202003%22%2C%22geoportal%3Ammeirs_landuse2003%22%2C1%2C%22MetroManilaLandUse2003%22%2C0%2Cnull%5D%5D%7D	Metro Manila Land Use 2003	<type 'unicode'>	6207277%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Metro%20manila%20land%20use%202003%22%2C%22geoportal%3Ammeirs_landuse2003%22%2C1%2C%22MetroManilaLandUse2003%22%2C0%2Cnull%5D%5D%7D
153	Budget of Expenditures and Sources of Financing Expenditure Program, By Agency, By General Expense Class 2009	http://data.insomnation.com/catalogue/storage/f/2013-12-16T08%3A03%3A07.450Z/dbm-besf-table-b-11-2009.csv	Budget of Expenditures and Sources of Financing Table B.11 2009	<type 'unicode'>	csv
154	The MMDA - Public Office is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the portal by the Metro Manila...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13474854.655218%2C1636072.6207277%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Public%20office%22%2C%22geoportal%3Alandmark_point10k%22%2C1%2C%22PublicOffice_MM%22%2C0%2Cnull%5D%5D%7D	Public Office	<type 'unicode'>	6207277%2C5%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Public%20office%22%2C%22geoportal%3Alandmark_point10k%22%2C1%2C%22PublicOffice_MM%22%2C0%2Cnull%5D%5D%7D
155	Budget of Expenditures and Sources of Financing National Government Expenditures, By Recipient Unit 2009	http://data.insomnation.com/catalogue/storage/f/2013-12-16T07%3A57%3A13.480Z/dbm-besf-table-b-9-2009.csv	 Budget of Expenditures and Sources of Financing Table B.9 2009	<type 'unicode'>	csv
156	The READY - Storm Surge Geohazard Map is a fundamental dataset uploaded to the Philippine Geoportal System (www.geoportal.gov.ph).  The dataset was shared to the portal by the...	http://www.geoportal.gov.ph/?p=%7B%22g%22%3A%5B13916668.650437%2C1262764.3056931%2C6%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Storm%20surge%20hazard%22%2C%22geoportal%3Aready_stormsurge%22%2C1%2C%22READYStormSurgeHazard%22%2C0%2Cnull%5D%5D%7D	Storm surge hazard	<type 'unicode'>	3056931%2C6%2C%22Philippine%20Geoportal%20Basemap%22%5D%2C%22l%22%3A%5B%5B%22Storm%20surge%20hazard%22%2C%22geoportal%3Aready_stormsurge%22%2C1%2C%22READYStormSurgeHazard%22%2C0%2Cnull%5D%5D%7D
